Problem:    production
Rows:       513
Columns:    372 (120 integer, 120 binary)
Non-zeros:  1212
Status:     INTEGER OPTIMAL
Objective:  f = 766 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f                         766                             
     2 stock_initial[1]
                                   8             8             = 
     3 stock_initial[2]
                                   8             8             = 
     4 stock_initial[3]
                                   6             6             = 
     5 stock_initial[4]
                                   9             9             = 
     6 stock_initial[5]
                                   9             9             = 
     7 stock_initial[6]
                                   6             6             = 
     8 stock_initial[7]
                                   8             8             = 
     9 stock_initial[8]
                                   6             6             = 
    10 stock_initial[9]
                                   6             6             = 
    11 stock_initial[10]
                                   8             8             = 
    12 stock_initial[11]
                                   6             6             = 
    13 stock_initial[12]
                                   7             7             = 
    66 stock[5,5]                 -1            -1             = 
    67 stock[5,6]                 -3            -3             = 
    68 stock[5,7]                 -7            -7             = 
    69 stock[5,8]                  0            -0             = 
    70 stock[5,9]                 -1            -1             = 
    71 stock[5,10]                -2            -2             = 
    72 stock[5,11]                -2            -2             = 
    73 stock[5,12]                -3            -3             = 
    74 stock[6,1]                 -4            -4             = 
    75 stock[6,2]                  0            -0             = 
    76 stock[6,3]                 -2            -2             = 
    77 stock[6,4]                 -2            -2             = 
    78 stock[6,5]                 -2            -2             = 
    79 stock[6,6]                 -1            -1             = 
    80 stock[6,7]                 -1            -1             = 
    81 stock[6,8]                 -3            -3             = 
    82 stock[6,9]                 -1            -1             = 
    83 stock[6,10]                 0            -0             = 
    84 stock[6,11]                -6            -6             = 
    85 stock[6,12]                -3            -3             = 
    86 stock[7,1]                 -4            -4             = 
    87 stock[7,2]                  0            -0             = 
    88 stock[7,3]                 -1            -1             = 
    89 stock[7,4]                 -1            -1             = 
    90 stock[7,5]                 -4            -4             = 
    91 stock[7,6]                 -3            -3             = 
    92 stock[7,7]                  0            -0             = 
    93 stock[7,8]                 -1            -1             = 
    94 stock[7,9]                 -3            -3             = 
    95 stock[7,10]                -5            -5             = 
    96 stock[7,11]                -6            -6             = 
    97 stock[7,12]                -2            -2             = 
    98 stock[8,1]                 -1            -1             = 
    99 stock[8,2]                 -1            -1             = 
   100 stock[8,3]                 -4            -4             = 
   101 stock[8,4]                 -3            -3             = 
   102 stock[8,5]                 -4            -4             = 
   103 stock[8,6]                 -2            -2             = 
   104 stock[8,7]                 -1            -1             = 
   105 stock[8,8]                 -1            -1             = 
   106 stock[8,9]                 -1            -1             = 
   107 stock[8,10]                -1            -1             = 
   108 stock[8,11]                -7            -7             = 
   109 stock[8,12]                -5            -5             = 
   110 stock[9,1]                  0            -0             = 
   111 stock[9,2]                 -2            -2             = 
   112 stock[9,3]                 -3            -3             = 
   113 stock[9,4]                 -3            -3             = 
   114 stock[9,5]                 -5            -5             = 
   115 stock[9,6]                 -3            -3             = 
   116 stock[9,7]                  0            -0             = 
   117 stock[9,8]                 -3            -3             = 
   118 stock[9,9]                 -1            -1             = 
   119 stock[9,10]                -2            -2             = 
   120 stock[9,11]                -1            -1             = 
   121 stock[9,12]                -7            -7             = 
   122 stock[10,1]                -3            -3             = 
   123 stock[10,2]                -1            -1             = 
   124 stock[10,3]                -7            -7             = 
   125 stock[10,4]                -2            -2             = 
   126 stock[10,5]                 0            -0             = 
   127 stock[10,6]                -2            -2             = 
   128 stock[10,7]                -1            -1             = 
   129 stock[10,8]                -1            -1             = 
   130 stock[10,9]                -2            -2             = 
   131 stock[10,10]               -5            -5             = 
   132 stock[10,11]               -4            -4             = 
   133 stock[10,12]               -3            -3             = 
   134 quantite_produite_hebdomadaire[1]
                                  23                          23 
   135 quantite_produite_hebdomadaire[2]
                                  23                          23 
   136 quantite_produite_hebdomadaire[3]
                                  23                          23 
   137 quantite_produite_hebdomadaire[4]
                                  23                          23 
   138 quantite_produite_hebdomadaire[5]
                                  23                          23 
   139 quantite_produite_hebdomadaire[6]
                                  23                          23 
   140 quantite_produite_hebdomadaire[7]
                                  23                          23 
   141 quantite_produite_hebdomadaire[8]
                                  23                          23 
   142 quantite_produite_hebdomadaire[9]
                                  23                          23 
   143 quantite_produite_hebdomadaire[10]
                                  23                          23 
   144 nombre_references[1]
                                   2                           6 
   145 nombre_references[2]
                                   3                           6 
   146 nombre_references[3]
                                   4                           6 
   147 nombre_references[4]
                                   5                           6 
   148 nombre_references[5]
                                   6                           6 
   149 nombre_references[6]
                                   6                           6 
   150 nombre_references[7]
                                   6                           6 
   151 nombre_references[8]
                                   6                           6 
   152 nombre_references[9]
                                   6                           6 
   153 nombre_references[10]
                                   6                           6 
   154 decision_production[1,1]
                                   0                          -0 
   155 decision_production[1,2]
                                   0                          -0 
   156 decision_production[1,3]
                                 -21                          -0 
   157 decision_production[1,4]
                                 -18                          -0 
   158 decision_production[1,5]
                                 -16                          -0 
   159 decision_production[1,6]
                                 -19                          -0 
   160 decision_production[1,7]
                                 -18                          -0 
   161 decision_production[1,8]
                                   0                          -0 
   162 decision_production[1,9]
                                   0                          -0 
   163 decision_production[1,10]
                                 -20                          -0 
   164 decision_production[2,1]
                                   0                          -0 
   165 decision_production[2,2]
                                  -9                          -0 
   166 decision_production[2,3]
                                 -22                          -0 
   167 decision_production[2,4]
                                   0                          -0 
   168 decision_production[2,5]
                                   0                          -0 
   169 decision_production[2,6]
                                   0                          -0 
   170 decision_production[2,7]
                                   0                          -0 
   171 decision_production[2,8]
                                   0                          -0 
   172 decision_production[2,9]
                                   0                          -0 
   173 decision_production[2,10]
                                   0                          -0 
   174 decision_production[3,1]
                                   0                          -0 
   175 decision_production[3,2]
                                   0                          -0 
   176 decision_production[3,3]
                                  -9                          -0 
   177 decision_production[3,4]
                                   0                          -0 
   178 decision_production[3,5]
                                   0                          -0 
   179 decision_production[3,6]
                                   0                          -0 
   180 decision_production[3,7]
                                   0                          -0 
   181 decision_production[3,8]
                                 -15                          -0 
   182 decision_production[3,9]
                                   0                          -0 
   183 decision_production[3,10]
                                 -17                          -0 
   184 decision_production[4,1]
                                   0                          -0 
   185 decision_production[4,2]
                                   0                          -0 
   186 decision_production[4,3]
                                   0                          -0 
   187 decision_production[4,4]
                                 -16                          -0 
   188 decision_production[4,5]
                                 -22                          -0 
   189 decision_production[4,6]
                                 -21                          -0 
   190 decision_production[4,7]
                                 -22                          -0 
   191 decision_production[4,8]
                                 -20                          -0 
   192 decision_production[4,9]
                                 -20                          -0 
   193 decision_production[4,10]
                                 -21                          -0 
   194 decision_production[5,1]
                                   0                          -0 
   195 decision_production[5,2]
                                   0                          -0 
   196 decision_production[5,3]
                                   0                          -0 
   197 decision_production[5,4]
                                 -19                          -0 
   198 decision_production[5,5]
                                   0                          -0 
   199 decision_production[5,6]
                                 -21                          -0 
   200 decision_production[5,7]
                                 -19                          -0 
   201 decision_production[5,8]
                                 -19                          -0 
   202 decision_production[5,9]
                                 -18                          -0 
   203 decision_production[5,10]
                                   0                          -0 
   204 decision_production[6,1]
                                  -8                          -0 
   205 decision_production[6,2]
                                   0                          -0 
   206 decision_production[6,3]
                                   0                          -0 
   207 decision_production[6,4]
                                   0                          -0 
   208 decision_production[6,5]
                                   0                          -0 
   209 decision_production[6,6]
                                   0                          -0 
   210 decision_production[6,7]
                                   0                          -0 
   211 decision_production[6,8]
                                   0                          -0 
   212 decision_production[6,9]
                                   0                          -0 
   213 decision_production[6,10]
                                   0                          -0 
   214 decision_production[7,1]
                                   0                          -0 
   215 decision_production[7,2]
                                   0                          -0 
   216 decision_production[7,3]
                                   0                          -0 
   217 decision_production[7,4]
                                   0                          -0 
   218 decision_production[7,5]
                                 -15                          -0 
   219 decision_production[7,6]
                                   0                          -0 
   220 decision_production[7,7]
                                   0                          -0 
   221 decision_production[7,8]
                                 -21                          -0 
   222 decision_production[7,9]
                                   0                          -0 
   223 decision_production[7,10]
                                   0                          -0 
   224 decision_production[8,1]
                                   0                          -0 
   225 decision_production[8,2]
                                   0                          -0 
   226 decision_production[8,3]
                                   0                          -0 
   227 decision_production[8,4]
                                   0                          -0 
   228 decision_production[8,5]
                                   0                          -0 
   229 decision_production[8,6]
                                 -19                          -0 
   230 decision_production[8,7]
                                   0                          -0 
   231 decision_production[8,8]
                                 -21                          -0 
   232 decision_production[8,9]
                                 -20                          -0 
   233 decision_production[8,10]
                                   0                          -0 
   234 decision_production[9,1]
                                   0                          -0 
   235 decision_production[9,2]
                                 -20                          -0 
   236 decision_production[9,3]
                                 -17                          -0 
   237 decision_production[9,4]
                                   0                          -0 
   238 decision_production[9,5]
                                 -21                          -0 
   239 decision_production[9,6]
                                   0                          -0 
   240 decision_production[9,7]
                                 -19                          -0 
   241 decision_production[9,8]
                                   0                          -0 
   242 decision_production[9,9]
                                 -20                          -0 
   243 decision_production[9,10]
                                   0                          -0 
   244 decision_production[10,1]
                                   0                          -0 
   245 decision_production[10,2]
                                   0                          -0 
   246 decision_production[10,3]
                                   0                          -0 
   247 decision_production[10,4]
                                 -19                          -0 
   248 decision_production[10,5]
                                 -21                          -0 
   249 decision_production[10,6]
                                   0                          -0 
   250 decision_production[10,7]
                                 -17                          -0 
   251 decision_production[10,8]
                                   0                          -0 
   252 decision_production[10,9]
                                 -21                          -0 
   253 decision_production[10,10]
                                 -18                          -0 
   254 decision_production[11,1]
                                 -15                          -0 
   255 decision_production[11,2]
                                 -17                          -0 
   256 decision_production[11,3]
                                   0                          -0 
   257 decision_production[11,4]
                                   0                          -0 
   258 decision_production[11,5]
                                   0                          -0 
   259 decision_production[11,6]
                                 -15                          -0 
   260 decision_production[11,7]
                                   0                          -0 
   261 decision_production[11,8]
                                   0                          -0 
   262 decision_production[11,9]
                                   0                          -0 
   263 decision_production[11,10]
                                 -19                          -0 
   264 decision_production[12,1]
                                   0                          -0 
   265 decision_production[12,2]
                                   0                          -0 
   266 decision_production[12,3]
                                   0                          -0 
   267 decision_production[12,4]
                                 -20                          -0 
   268 decision_production[12,5]
                                 -20                          -0 
   269 decision_production[12,6]
                                 -20                          -0 
   270 decision_production[12,7]
                                 -20                          -0 
   271 decision_production[12,8]
                                 -19                          -0 
   272 decision_production[12,9]
                                 -16                          -0 
   273 decision_production[12,10]
                                 -20                          -0 
   274 production_positive[1,1]
                                   0            -0               
   275 production_positive[1,2]
                                   0            -0               
   276 production_positive[1,3]
                                   2            -0               
   277 production_positive[1,4]
                                   5            -0               
   278 production_positive[1,5]
                                   7            -0               
   279 production_positive[1,6]
                                   4            -0               
   280 production_positive[1,7]
                                   5            -0               
   281 production_positive[1,8]
                                   0            -0               
   282 production_positive[1,9]
                                   0            -0               
   283 production_positive[1,10]
                                   3            -0               
   284 production_positive[2,1]
                                   0            -0               
   285 production_positive[2,2]
                                  14            -0               
   286 production_positive[2,3]
                                   1            -0               
   287 production_positive[2,4]
                                   0            -0               
   288 production_positive[2,5]
                                   0            -0               
   289 production_positive[2,6]
                                   0            -0               
   290 production_positive[2,7]
                                   0            -0               
   291 production_positive[2,8]
                                   0            -0               
   292 production_positive[2,9]
                                   0            -0               
   293 production_positive[2,10]
                                   0            -0               
   294 production_positive[3,1]
                                   0            -0               
   295 production_positive[3,2]
                                   0            -0               
   296 production_positive[3,3]
                                  14            -0               
   297 production_positive[3,4]
                                   0            -0               
   298 production_positive[3,5]
                                   0            -0               
   299 production_positive[3,6]
                                   0            -0               
   300 production_positive[3,7]
                                   0            -0               
   301 production_positive[3,8]
                                   8            -0               
   302 production_positive[3,9]
                                   0            -0               
   303 production_positive[3,10]
                                   6            -0               
   304 production_positive[4,1]
                                   0            -0               
   305 production_positive[4,2]
                                   0            -0               
   306 production_positive[4,3]
                                   0            -0               
   307 production_positive[4,4]
                                   7            -0               
   308 production_positive[4,5]
                                   1            -0               
   309 production_positive[4,6]
                                   2            -0               
   310 production_positive[4,7]
                                   1            -0               
   311 production_positive[4,8]
                                   3            -0               
   312 production_positive[4,9]
                                   3            -0               
   313 production_positive[4,10]
                                   2            -0               
   314 production_positive[5,1]
                                   0            -0               
   315 production_positive[5,2]
                                   0            -0               
   316 production_positive[5,3]
                                   0            -0               
   317 production_positive[5,4]
                                   4            -0               
   318 production_positive[5,5]
                                   0            -0               
   319 production_positive[5,6]
                                   2            -0               
   320 production_positive[5,7]
                                   4            -0               
   321 production_positive[5,8]
                                   4            -0               
   322 production_positive[5,9]
                                   5            -0               
   323 production_positive[5,10]
                                   0            -0               
   324 production_positive[6,1]
                                  15            -0               
   325 production_positive[6,2]
                                   0            -0               
   326 production_positive[6,3]
                                   0            -0               
   327 production_positive[6,4]
                                   0            -0               
   328 production_positive[6,5]
                                   0            -0               
   329 production_positive[6,6]
                                   0            -0               
   330 production_positive[6,7]
                                   0            -0               
   331 production_positive[6,8]
                                   0            -0               
   332 production_positive[6,9]
                                   0            -0               
   333 production_positive[6,10]
                                   0            -0               
   334 production_positive[7,1]
                                   0            -0               
   335 production_positive[7,2]
                                   0            -0               
   336 production_positive[7,3]
                                   0            -0               
   337 production_positive[7,4]
                                   0            -0               
   338 production_positive[7,5]
                                   8            -0               
   339 production_positive[7,6]
                                   0            -0               
   340 production_positive[7,7]
                                   0            -0               
   341 production_positive[7,8]
                                   2            -0               
   342 production_positive[7,9]
                                   0            -0               
   343 production_positive[7,10]
                                   0            -0               
   344 production_positive[8,1]
                                   0            -0               
   345 production_positive[8,2]
                                   0            -0               
   346 production_positive[8,3]
                                   0            -0               
   347 production_positive[8,4]
                                   0            -0               
   348 production_positive[8,5]
                                   0            -0               
   349 production_positive[8,6]
                                   4            -0               
   350 production_positive[8,7]
                                   0            -0               
   351 production_positive[8,8]
                                   2            -0               
   352 production_positive[8,9]
                                   3            -0               
   353 production_positive[8,10]
                                   0            -0               
   354 production_positive[9,1]
                                   0            -0               
   355 production_positive[9,2]
                                   3            -0               
   356 production_positive[9,3]
                                   6            -0               
   357 production_positive[9,4]
                                   0            -0               
   358 production_positive[9,5]
                                   2            -0               
   359 production_positive[9,6]
                                   0            -0               
   360 production_positive[9,7]
                                   4            -0               
   361 production_positive[9,8]
                                   0            -0               
   362 production_positive[9,9]
                                   3            -0               
   363 production_positive[9,10]
                                   0            -0               
   364 production_positive[10,1]
                                   0            -0               
   365 production_positive[10,2]
                                   0            -0               
   366 production_positive[10,3]
                                   0            -0               
   367 production_positive[10,4]
                                   4            -0               
   368 production_positive[10,5]
                                   2            -0               
   369 production_positive[10,6]
                                   0            -0               
   370 production_positive[10,7]
                                   6            -0               
   371 production_positive[10,8]
                                   0            -0               
   372 production_positive[10,9]
                                   2            -0               
   373 production_positive[10,10]
                                   5            -0               
   374 production_positive[11,1]
                                   8            -0               
   375 production_positive[11,2]
                                   6            -0               
   376 production_positive[11,3]
                                   0            -0               
   377 production_positive[11,4]
                                   0            -0               
   378 production_positive[11,5]
                                   0            -0               
   379 production_positive[11,6]
                                   8            -0               
   380 production_positive[11,7]
                                   0            -0               
   381 production_positive[11,8]
                                   0            -0               
   382 production_positive[11,9]
                                   0            -0               
   383 production_positive[11,10]
                                   4            -0               
   384 production_positive[12,1]
                                   0            -0               
   385 production_positive[12,2]
                                   0            -0               
   386 production_positive[12,3]
                                   0            -0               
   387 production_positive[12,4]
                                   3            -0               
   388 production_positive[12,5]
                                   3            -0               
   389 production_positive[12,6]
                                   3            -0               
   390 production_positive[12,7]
                                   3            -0               
   391 production_positive[12,8]
                                   4            -0               
   392 production_positive[12,9]
                                   7            -0               
   393 production_positive[12,10]
                                   3            -0               
   394 stocks_positifs[1,1]
                                   4            -0               
   395 stocks_positifs[1,2]
                                   0            -0               
   396 stocks_positifs[1,3]
                                   0            -0               
   397 stocks_positifs[1,4]
                                   0            -0               
   398 stocks_positifs[1,5]
                                   0            -0               
   399 stocks_positifs[1,6]
                                   0            -0               
   400 stocks_positifs[1,7]
                                   1            -0               
   401 stocks_positifs[1,8]
                                   0            -0               
   402 stocks_positifs[1,9]
                                   0            -0               
   403 stocks_positifs[1,10]
                                   0            -0               
   404 stocks_positifs[2,1]
                                   5            -0               
   405 stocks_positifs[2,2]
                                  18            -0               
   406 stocks_positifs[2,3]
                                  16            -0               
   407 stocks_positifs[2,4]
                                  11            -0               
   408 stocks_positifs[2,5]
                                   4            -0               
   409 stocks_positifs[2,6]
                                   4            -0               
   410 stocks_positifs[2,7]
                                   4            -0               
   411 stocks_positifs[2,8]
                                   3            -0               
   412 stocks_positifs[2,9]
                                   1            -0               
   413 stocks_positifs[2,10]
                                   0            -0               
   414 stocks_positifs[3,1]
                                   2            -0               
   415 stocks_positifs[3,2]
                                   0            -0               
   416 stocks_positifs[3,3]
                                  12            -0               
   417 stocks_positifs[3,4]
                                   8            -0               
   418 stocks_positifs[3,5]
                                   3            -0               
   419 stocks_positifs[3,6]
                                   1            -0               
   420 stocks_positifs[3,7]
                                   0            -0               
   421 stocks_positifs[3,8]
                                   4            -0               
   422 stocks_positifs[3,9]
                                   1            -0               
   423 stocks_positifs[3,10]
                                   0            -0               
   424 stocks_positifs[4,1]
                                   8            -0               
   425 stocks_positifs[4,2]
                                   2            -0               
   426 stocks_positifs[4,3]
                                   1            -0               
   427 stocks_positifs[4,4]
                                   0            -0               
   428 stocks_positifs[4,5]
                                   0            -0               
   429 stocks_positifs[4,6]
                                   0            -0               
   430 stocks_positifs[4,7]
                                   0            -0               
   431 stocks_positifs[4,8]
                                   0            -0               
   432 stocks_positifs[4,9]
                                   0            -0               
   433 stocks_positifs[4,10]
                                   0            -0               
   434 stocks_positifs[5,1]
                                   5            -0               
   435 stocks_positifs[5,2]
                                   4            -0               
   436 stocks_positifs[5,3]
                                   2            -0               
   437 stocks_positifs[5,4]
                                   1            -0               
   438 stocks_positifs[5,5]
                                   0            -0               
   439 stocks_positifs[5,6]
                                   0            -0               
   440 stocks_positifs[5,7]
                                   0            -0               
   441 stocks_positifs[5,8]
                                   0            -0               
   442 stocks_positifs[5,9]
                                   0            -0               
   443 stocks_positifs[5,10]
                                   0            -0               
   444 stocks_positifs[6,1]
                                  21            -0               
   445 stocks_positifs[6,2]
                                  19            -0               
   446 stocks_positifs[6,3]
                                  17            -0               
   447 stocks_positifs[6,4]
                                  14            -0               
   448 stocks_positifs[6,5]
                                  11            -0               
   449 stocks_positifs[6,6]
                                  10            -0               
   450 stocks_positifs[6,7]
                                   7            -0               
   451 stocks_positifs[6,8]
                                   5            -0               
   452 stocks_positifs[6,9]
                                   2            -0               
   453 stocks_positifs[6,10]
                                   0            -0               
   454 stocks_positifs[7,1]
                                   6            -0               
   455 stocks_positifs[7,2]
                                   4            -0               
   456 stocks_positifs[7,3]
                                   2            -0               
   457 stocks_positifs[7,4]
                                   0            -0               
   458 stocks_positifs[7,5]
                                   1            -0               
   459 stocks_positifs[7,6]
                                   0            -0               
   460 stocks_positifs[7,7]
                                   0            -0               
   461 stocks_positifs[7,8]
                                   1            -0               
   462 stocks_positifs[7,9]
                                   1            -0               
   463 stocks_positifs[7,10]
                                   0            -0               
   464 stocks_positifs[8,1]
                                   4            -0               
   465 stocks_positifs[8,2]
                                   3            -0               
   466 stocks_positifs[8,3]
                                   1            -0               
   467 stocks_positifs[8,4]
                                   0            -0               
   468 stocks_positifs[8,5]
                                   0            -0               
   469 stocks_positifs[8,6]
                                   1            -0               
   470 stocks_positifs[8,7]
                                   0            -0               
   471 stocks_positifs[8,8]
                                   1            -0               
   472 stocks_positifs[8,9]
                                   1            -0               
   473 stocks_positifs[8,10]
                                   0            -0               
   474 stocks_positifs[9,1]
                                   0            -0               
   475 stocks_positifs[9,2]
                                   0            -0               
   476 stocks_positifs[9,3]
                                   5            -0               
   477 stocks_positifs[9,4]
                                   0            -0               
   478 stocks_positifs[9,5]
                                   1            -0               
   479 stocks_positifs[9,6]
                                   0            -0               
   480 stocks_positifs[9,7]
                                   1            -0               
   481 stocks_positifs[9,8]
                                   0            -0               
   482 stocks_positifs[9,9]
                                   2            -0               
   483 stocks_positifs[9,10]
                                   0            -0               
   484 stocks_positifs[10,1]
                                   3            -0               
   485 stocks_positifs[10,2]
                                   2            -0               
   486 stocks_positifs[10,3]
                                   0            -0               
   487 stocks_positifs[10,4]
                                   0            -0               
   488 stocks_positifs[10,5]
                                   0            -0               
   489 stocks_positifs[10,6]
                                   0            -0               
   490 stocks_positifs[10,7]
                                   1            -0               
   491 stocks_positifs[10,8]
                                   0            -0               
   492 stocks_positifs[10,9]
                                   0            -0               
   493 stocks_positifs[10,10]
                                   0            -0               
   494 stocks_positifs[11,1]
                                  12            -0               
   495 stocks_positifs[11,2]
                                  16            -0               
   496 stocks_positifs[11,3]
                                  16            -0               
   497 stocks_positifs[11,4]
                                  14            -0               
   498 stocks_positifs[11,5]
                                  12            -0               
   499 stocks_positifs[11,6]
                                  14            -0               
   500 stocks_positifs[11,7]
                                   8            -0               
   501 stocks_positifs[11,8]
                                   1            -0               
   502 stocks_positifs[11,9]
                                   0            -0               
   503 stocks_positifs[11,10]
                                   0            -0               
   504 stocks_positifs[12,1]
                                   5            -0               
   505 stocks_positifs[12,2]
                                   4            -0               
   506 stocks_positifs[12,3]
                                   1            -0               
   507 stocks_positifs[12,4]
                                   0            -0               
   508 stocks_positifs[12,5]
                                   0            -0               
   509 stocks_positifs[12,6]
                                   0            -0               
   510 stocks_positifs[12,7]
                                   1            -0               
   511 stocks_positifs[12,8]
                                   0            -0               
   512 stocks_positifs[12,9]
                                   0            -0               
   513 stocks_positifs[12,10]
                                   0            -0               

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 x[1,1]                      0                             
     2 x[1,2]                      0                             
     3 x[1,3]                      0                             
     4 x[1,4]                      0                             
     5 x[1,5]                      0                             
     6 x[1,6]                     15                             
     7 x[1,7]                      0                             
     8 x[1,8]                      0                             
     9 x[1,9]                      0                             
    10 x[1,10]                     0                             
    11 x[1,11]                     8                             
    12 x[1,12]                     0                             
    13 x[2,1]                      0                             
    14 x[2,2]                     14                             
    15 x[2,3]                      0                             
    16 x[2,4]                      0                             
    17 x[2,5]                      0                             
    18 x[2,6]                      0                             
    19 x[2,7]                      0                             
    20 x[2,8]                      0                             
    21 x[2,9]                      3                             
    22 x[2,10]                     0                             
    23 x[2,11]                     6                             
    24 x[2,12]                     0                             
    25 x[3,1]                      2                             
    26 x[3,2]                      1                             
    27 x[3,3]                     14                             
    28 x[3,4]                      0                             
    29 x[3,5]                      0                             
    30 x[3,6]                      0                             
    31 x[3,7]                      0                             
    32 x[3,8]                      0                             
    33 x[3,9]                      6                             
    34 x[3,10]                     0                             
    35 x[3,11]                     0                             
    36 x[3,12]                     0                             
    37 x[4,1]                      5                             
    38 x[4,2]                      0                             
    39 x[4,3]                      0                             
    40 x[4,4]                      7                             
    41 x[4,5]                      4                             
    42 x[4,6]                      0                             
    43 x[4,7]                      0                             
    44 x[4,8]                      0                             
    45 x[4,9]                      0                             
    46 x[4,10]                     4                             
    47 x[4,11]                     0                             
    48 x[4,12]                     3                             
    49 x[5,1]                      7                             
    50 x[5,2]                      0                             
    51 x[5,3]                      0                             
    52 x[5,4]                      1                             
    53 x[5,5]                      0                             
    54 x[5,6]                      0                             
    55 x[5,7]                      8                             
    56 x[5,8]                      0                             
    57 x[5,9]                      2                             
    58 x[5,10]                     2                             
    59 x[5,11]                     0                             
    60 x[5,12]                     3                             
    61 x[6,1]                      4                             
    62 x[6,2]                      0                             
    63 x[6,3]                      0                             
    64 x[6,4]                      2                             
    65 x[6,5]                      2                             
    66 x[6,6]                      0                             
    67 x[6,7]                      0                             
    68 x[6,8]                      4                             
    69 x[6,9]                      0                             
    70 x[6,10]                     0                             
    71 x[6,11]                     8                             
    72 x[6,12]                     3                             
    73 x[7,1]                      5                             
    74 x[7,2]                      0                             
    75 x[7,3]                      0                             
    76 x[7,4]                      1                             
    77 x[7,5]                      4                             
    78 x[7,6]                      0                             
    79 x[7,7]                      0                             
    80 x[7,8]                      0                             
    81 x[7,9]                      4                             
    82 x[7,10]                     6                             
    83 x[7,11]                     0                             
    84 x[7,12]                     3                             
    85 x[8,1]                      0                             
    86 x[8,2]                      0                             
    87 x[8,3]                      8                             
    88 x[8,4]                      3                             
    89 x[8,5]                      4                             
    90 x[8,6]                      0                             
    91 x[8,7]                      2                             
    92 x[8,8]                      2                             
    93 x[8,9]                      0                             
    94 x[8,10]                     0                             
    95 x[8,11]                     0                             
    96 x[8,12]                     4                             
    97 x[9,1]                      0                             
    98 x[9,2]                      0                             
    99 x[9,3]                      0                             
   100 x[9,4]                      3                             
   101 x[9,5]                      5                             
   102 x[9,6]                      0                             
   103 x[9,7]                      0                             
   104 x[9,8]                      3                             
   105 x[9,9]                      3                             
   106 x[9,10]                     2                             
   107 x[9,11]                     0                             
   108 x[9,12]                     7                             
   109 x[10,1]                     3                             
   110 x[10,2]                     0                             
   111 x[10,3]                     6                             
   112 x[10,4]                     2                             
   113 x[10,5]                     0                             
   114 x[10,6]                     0                             
   115 x[10,7]                     0                             
